platform,url,title,author,ts,text_len,sentiment,m_Atomberg,m_Havells,m_Crompton,m_Orient,m_Usha,m_Bajaj,metric_rank_weight,engagement
google,https://www.jiomart.com/p/electronics/atomberg-renesa-smart-plus-1200-mm-3-blade-bldc-motor-with-remote-3-blade-ceiling-fan-earth-brown/591223649,Buy Atomberg Renesa Smart Plus 1200 MM 3 Blade Bldc ...,,,156,0.0,1,0,0,0,0,0,0.24217279268492622,0.24217279268492622
google,https://smartify.in/shop/accessories/others/atomberg-renesa-smart-ceiling-fan/,Atomberg Renesa Smart+ Ceiling Fan - Smartify Store,,,4906,0.9991,23,0,0,0,0,0,0.2375605365212512,0.2375605365212512
google,https://www.bigbasket.com/pd/40329800/atomberg-renesa-smart-plus-5-star-1200mm-3-blade-bldc-motor-smart-ceiling-fan-with-remote-alexa-google-assistant-golden-oakwood-1-n/,Atomberg Renesa Smart Plus 5 Star 1200mm 3 Blade ...,,,857,0.9871,6,0,0,0,0,0,0.23335032487697144,0.23335032487697144
google,https://atomberg.com/aris-countour-ceiling-fan?srsltid=AfmBOorqkVhO67IUZ8FOM-33KmGvH2Sq0lWud_z3eLO4HNxyiVo6qsgj,Aris Contour Ceiling Fan,,,8,0.0,1,0,0,0,0,0,0.22948664730569168,0.22948664730569168
google,https://www.flipkart.com/q/bldc-ceiling-fan,Bldc Ceiling Fan - Flipkart,,,5000,0.9957,3,0,0,2,0,0,0.75647079736603,0.75647079736603
google,https://www.amazon.in/stores/Crompton/page/F624728E-F41E-472E-B1F2-9CA9AEB563B2,BLDC Fans - Crompton,,,3224,0.9977,0,0,4,0,0,0,0.5532947556651122,0.5532947556651122
google,https://shop.kuhl.in/?srsltid=AfmBOopvInC1YWutR6AXtiT9M9KH3Oe8O6TNx8Dm_jOWUsNgmP_2fQjc,Buy Energy Efficient BLDC Ceiling Fans | 5 Star Rated and ...,,,5000,0.9993,0,0,0,0,0,0,0.46084542061837025,0.46084542061837025
google,https://atomberg.com/atomberg-ceiling-fans?srsltid=AfmBOoo3MVAYFvw1E8IN_xzWAzMCqUOg2LSFUTrMYkSAR7KigMvyjdbJ,Buy Premium BLDC Ceiling Fans At Best Prices Online In ...,,,8,0.0,1,0,0,0,0,0,0.40659800924006667,0.40659800924006667
google,https://orientelectric.com/collections/bldc-fans?srsltid=AfmBOorzLSrkQ67srOpH09NMOsPSrKddDioRz7H_szXXGzhchro-byd9,Buy BLDC Fans (बीएलडीसी फैन) Online at Best Price in India,,,5000,0.9853,0,0,0,4,0,0,0.3703100622028965,0.3703100622028965
google,https://superfan.in/?srsltid=AfmBOorebL4hnp2omoJWiwko9dXN868vC3C4fbn9p-U-qqz0WGQCx-87,Superfan: India's First BLDC Ceiling Fan | 5 Years Warranty,,,4978,0.9996,0,0,0,0,0,0,0.3440101947801938,0.3440101947801938
google,https://havells.com/bldc-plus-fans,BLDC+ Fans,,,4999,0.999,0,10,0,0,0,0,0.32389053777082116,0.32389053777082116
google,https://vguard.com/collections/bldc?srsltid=AfmBOoqAorP9qazUaLKk97VwA4QB4yD9ZDCay7dDKEge42VQ06qrvojD,V-Guard Industries Limited BLDC Fans,,,4954,0.9956,0,0,0,0,0,0,0.30788864463904214,0.30788864463904214
google,https://www.amazon.in/stores/HOUSEOFHAVELLS/page/60FDB750-7396-428A-A7A4-6B9D8712D37F,HOUSE OF HAVELLS: BLDC FANS,,,5000,0.9984,0,10,0,0,0,0,0.29478373494331395,0.29478373494331395
google,https://www.kuhl.in/,Buy Energy Efficient BLDC Ceiling Fans | 5 Star Rated and ...,,,4911,0.9987,0,0,0,0,0,0,0.28380372261682446,0.28380372261682446
google,https://www.crompton.co.in/collections/ceiling-fans/bldc-fans,Buy BLDC Fans (बीएलडीसी फैन) & Experience 50% Energy ...,,,4999,0.9896,0,0,1,0,0,0,0.27443454075003526,0.27443454075003526
google,https://mkp.gem.gov.in/heating-and-ventilation-and-air-circulation-air-circulation-and-parts-and-accessories-electric-ceiling-fan-with-bldc-motor-v3-isi-marked-to-is-374,Electric Ceiling Fan with BLDC Motor (V3) ISI Marked to IS 374,,,4973,0.9841,0,0,0,0,0,0,0.266319563348789,0.266319563348789
google,https://atomberg.com/shop-ceiling-fans-atomberg-ameza-bldc-motor-with-remote-3-blade-ceiling-fan-2?srsltid=AfmBOorjtMQYPw113JZaNwf-D1pGYbgVNQ4hpsbZDH3UaYCesSVemLtD,Buy BLDC Ameza Energy Saving Ceiling Fan with Remote ...,,,8,0.0,1,0,0,0,0,0,0.2592029357487628,0.2592029357487628
google,https://dir.indiamart.com/impcat/bldc-ceiling-fan.html,"BLDC Ceiling Fan - BLDC Fan Latest Price, Manufacturers ...",,,4998,0.9958,4,0,0,0,0,0,0.25289589122654377,0.25289589122654377
google,https://polycab.com/fans/ceiling-fan/bldc-fan/c,Buy BLDC Fan (बीएलडीसी फैन) Online in India at the Best ...,,,4851,0.996,0,0,0,0,0,0,0.24725582386086203,0.24725582386086203
google,https://eeslmart.in/fan,BLDC Ceiling Fan,,,1811,0.9779,0,0,0,0,0,0,0.24217279268492622,0.24217279268492622
google,https://www.bajajelectricals.com/collections/bldc-fans?srsltid=AfmBOoq6fb4Dw9mgwKNkR_oV1JDKHea92_i_-wq4n_8TrN0Gh-SrwIPS,BLDC Fans – Bajaj Electricals India,,,5000,0.997,0,0,0,0,0,9,0.2375605365212512,0.2375605365212512
google,https://www.amazon.in/energy-saving-fans/s?k=energy+saving+fans,Energy Saving Fans,,,160,0.5267,0,0,0,1,0,0,0.75647079736603,0.75647079736603
google,https://shop.kuhl.in/collections/ceiling-fans?srsltid=AfmBOop5F7eHajutJQ0l6O_AVbHj4LAhjPFwuJEdbqOU-byoACL8CFiK,BLDC Ceiling Fans | Energy Saving | 5 Star | Remote Operated,,,4999,0.9992,0,0,0,0,0,0,0.5532947556651122,0.5532947556651122
google,https://atomberg.com/atomberg-ceiling-fans?srsltid=AfmBOor5XsfOUJP-lLfA5XM97Fa0s26WJj6fXHYDKbpm09kNIfJC-ihf,Buy Premium BLDC Ceiling Fans At Best Prices Online In ...,,,8,0.0,1,0,0,0,0,0,0.46084542061837025,0.46084542061837025
google,https://superfan.in/?srsltid=AfmBOooz88dgKPS7M4yhf4qkpMO-y9CaT2Oly3V5KYEv5rUXEIY6dyEe,Superfan: India's First BLDC Ceiling Fan | 5 Years Warranty,,,4978,0.9996,0,0,0,0,0,0,0.40659800924006667,0.40659800924006667
google,https://energy.vikaspedia.in/viewcontent/energy/policy-support/energy-efficiency/national-energy-efficient-fan-programme?lgn=en,National Energy Efficient Fan Programme - Vikaspedia,,,161,0.5994,0,0,0,0,1,1,0.3703100622028965,0.3703100622028965
google,https://www.goldmedalindia.com/blog/advantages-of-opting-for-energy-efficient-ceiling-fans/,Advantages of Opting for Energy-Efficient Ceiling Fans,,,5000,0.9991,0,0,0,0,0,0,0.3440101947801938,0.3440101947801938
google,https://www.energy.gov/energysaver/fans-cooling,Fans for Cooling,,,5000,0.9994,0,0,0,0,0,0,0.32389053777082116,0.32389053777082116
google,https://atomberg.com/?srsltid=AfmBOooUFPUSdoSZ3PZ18kTr32z9O24gFLw9cOaorgJRlmdy-STUGG5q,"Atomberg: Buy Best Ceiling Fans, Mixer Grinders & Water ...",,,8,0.0,2,0,0,0,0,0,0.30788864463904214,0.30788864463904214
google,https://www.crompton.co.in/blogs/fans-guide/say-hello-to-silent-fans-with-energy-saving,Say Hello to Silent Fans With Energy-Saving,,,4999,0.9983,0,0,3,0,0,0,0.29478373494331395,0.29478373494331395
google,https://www.energystar.gov/products/ceiling_fans,Ceiling Fans,,,3881,0.9996,0,0,0,0,0,0,0.28380372261682446,0.28380372261682446
google,https://www.jvelectric.co.in/stores/index.php?route=product/category&path=275,Energy Efficient Fans,,,5000,0.9985,2,3,3,3,7,2,0.27443454075003526,0.27443454075003526
google,https://orientelectric.com/collections/bldc-fans?srsltid=AfmBOoqZc11Wcc0X7DYVLzRDOBDpjOPx3DqR2eOdHrwo-8S7GPKGD0PG,Buy BLDC Fans (बीएलडीसी फैन) Online at Best Price in India,,,5000,0.9853,0,0,0,4,0,0,0.266319563348789,0.266319563348789
google,https://www.crompton.co.in/blogs/fans-guide/how-to-save-on-your-electricity-bill-with-energy-saving-fans,Electricity Bill Saving with Energy Efficient Fans,,,4999,0.9963,0,0,3,0,0,0,0.2592029357487628,0.2592029357487628
google,https://www.croma.com/l/energy-saving-ceiling-fan-0adz01b.html?srsltid=AfmBOopvPccfQLZ3eFjdRr9b-wpMEoA4j37gx7JPyO_KAKkS4EXdabVy,Buy Energy Saving Ceiling Fans Online at Best Prices,,,160,0.5574,0,0,0,0,0,0,0.25289589122654377,0.25289589122654377
google,https://havells.com/fans/ceiling-fans.html,High-Quality Ceiling Fans - Shop Now at Havells,,,4999,0.9992,0,7,0,0,0,0,0.24725582386086203,0.24725582386086203
google,https://orpatgroup.com/product-category/power-saver-fans/,Buy Energy Efficient Power Saving Ceiling Fans at Best ...,,,5000,0.9944,0,0,0,0,0,0,0.24217279268492622,0.24217279268492622
google,https://www.flipkart.com/orient-electric-ujala-1200-mm-energy-saving-3-blade-ceiling-fan/p/itma5442b945a94c,Orient Electric Ujala Energy Saver with 2 Year Warranty ...,,,4999,0.9989,0,0,0,8,0,0,0.2375605365212512,0.2375605365212512
google,https://houseofsujata.com/fans/ceiling-fans/,Premium Ceiling Fans - Modern & Stylish Designs,,,1188,0.9222,0,0,0,0,0,0,0.23335032487697144,0.23335032487697144
google,https://www.indiamart.com/proddetail/energy-efficient-ceiling-fan-18111081791.html?srsltid=AfmBOoq2qoXMArUSSVURNwOrGvpPJoV3go-0cB-61bJxqz2G1bEr3iYh,Energy Efficient Ceiling Fan,,,2215,0.9965,0,0,0,0,0,0,0.22948664730569168,0.22948664730569168
